topic,Dl,Al,Ar,Dr
Music,-0.4256593974931833,0.3981232647463463,0.12725234095482796,-0.17561103376833462
Movies,-0.3984586175231515,0.3855660388722006,0.06380947702355372,-0.11958078022422626
Trump,-0.4774021968891877,0.47246628975827293,-0.12108412754182052,0.06718805013652213
Hillary,-0.4424406914154631,0.43209420100480883,-0.21045803136337135,0.1465432437776614
Religion,-0.45743352665757103,0.43799029938709694,0.148454169831452,-0.19017287959842957
Conservative,-0.5157204491381318,0.49537495158188266,0.12376259264486336,-0.17260440602513843
Fear,-0.47169781238094705,0.45262335670127474,-0.02163793925216968,-0.030044135353264504
BlackLivesMatter,-0.43093379234790685,0.4096994990747056,-0.1484652100542897,0.09137666873592036
Voter,-0.4029211989174664,0.39427352328850024,-0.03514756720419578,-0.017121037785309243
MeToo,-0.3816302329580837,0.36553637904339814,-0.048250004613419835,-0.011792906797773743
Terrorism,-0.44109897361376055,0.4210006677319784,0.007606567402876848,-0.05496478562145047
Hacking,-0.4490064618820206,0.4360535815905054,0.02991663118174472,-0.07583717522398066
Sanders,-0.35437320448512555,0.3448064387133665,0.09392380725887915,-0.13991306694336716
Obama,-0.49762236262151593,0.4802346577767318,-0.026028248438034543,-0.026052742691829042
FakeNews,-0.4281058449993794,0.4185887429994067,-0.13341440657598386,0.09490450828463187
Gouvernment,-0.3942097408401826,0.3796113387002979,-0.07833541287234981,0.03490353225911614
Healthcare,-0.34842857217366013,0.3338112496899328,0.12112851349697386,-0.18080706455473963
Gun,-0.43401171161955565,0.4362759985498634,0.19280114334197937,-0.23053227264690906
Sport,-0.4012385195900541,0.38498677368436235,0.08989851627196534,-0.1326103090015041
Scandal,-0.46953704950646963,0.46574289353397574,-0.03212993410796785,-0.018876319010352523
Economy,-0.45655028368209954,0.4453443204159112,0.017333609072223193,-0.06400360052071781
