topic,Cl,Tl,Tr,Cr
Music,0.016247653485459132,0.0819937129407821,0.04828344716749247,-0.09036197384675926
Movies,0.023945253447265783,0.1653364357699023,0.11083656619834804,-0.0988286701981997
Trump,-0.004646425085103438,0.05499907494467471,0.2425282860812685,-0.045391359138776614
Hillary,0.045849737718710655,0.0018851957440704258,0.414971468943895,0.1439823686400849
Religion,0.06261453037750318,0.08081678527591281,-0.006332403933726342,0.004366769554888559
Conservative,-0.08650386165242209,-0.0637671645890743,-0.12912989119077062,-0.258527662265006
Fear,-0.02158498297315879,0.06979341119157972,0.10580059774239994,-0.11838186129295442
BlackLivesMatter,0.011577233397214412,0.12449092958894467,0.346044137447458,-0.0303566601541978
Voter,0.06384109989616187,0.08557508800811826,0.20689393681243556,-0.04801232288070557
MeToo,0.13612235699172026,0.15620888376949807,0.05314626611310876,-0.006387286969845553
Terrorism,0.054890129981202296,0.04050353575721719,0.10088934333732395,0.04225605803855871
Hacking,0.14832360135725825,0.1461256100688953,0.4030032657389172,0.11346172898579382
Sanders,-0.21542606524598978,-0.3148083537921961,-0.2754255675901116,-0.2688626749339543
Obama,0.02937445609083688,0.12893078080248999,0.0456019382522861,-0.07691026010335208
FakeNews,0.07269332933108044,0.056540348706968585,0.21848079893286598,0.02899969852449026
Gouvernment,0.026058675844025568,0.05951794488822038,0.03457072447320439,-0.14819285909151267
Healthcare,-0.0007801637751532527,0.019669806500296354,0.12305323685957538,-0.08779839229289017
Gun,0.04833116487211973,0.010663359201730397,-0.14223208213868518,-0.18279103404078714
Sport,0.1526469623429143,0.19050855637668673,0.09776869952492435,0.006068294391282593
Scandal,-0.03247848638175179,-0.0318387313431919,0.1653676063963103,0.044283773192039466
Election,0.009664875415537596,0.05232081869262592,0.1359157234362471,-0.1037142437153742
Economy,0.007974104501788041,0.06286302203536627,0.0727295862695788,-0.10122468954032476
