date,adjusted_approve,adjusted_disapprove,Music_LeftTroll,Music_RightTroll,Movies_LeftTroll,Movies_RightTroll,Sport_LeftTroll,Sport_RightTroll,Trump_LeftTroll,Trump_RightTroll,Hillary_LeftTroll,Hillary_RightTroll,Hacking_LeftTroll,Hacking_RightTroll,Sanders_LeftTroll,Sanders_RightTroll,Obama_LeftTroll,Obama_RightTroll,Voter_LeftTroll,Voter_RightTroll,Healthcare_LeftTroll,Healthcare_RightTroll,Gouvernment_LeftTroll,Gouvernment_RightTroll,Religion_LeftTroll,Religion_RightTroll,Conservative_LeftTroll,Conservative_RightTroll,Liberal_LeftTroll,Liberal_RightTroll,Gun_LeftTroll,Gun_RightTroll,Terrorism_LeftTroll,Terrorism_RightTroll,Fear_LeftTroll,Fear_RightTroll,BlackLivesMatter_LeftTroll,BlackLivesMatter_RightTroll,MeToo_LeftTroll,MeToo_RightTroll,FakeNews_LeftTroll,FakeNews_RightTroll,News_LeftTroll,News_RightTroll,Scandal_LeftTroll,Scandal_RightTroll,Economy_LeftTroll,Economy_RightTroll
2017-01-20,42.644602222222225,42.27138888888889,120.0,14.0,21.0,19.0,4.0,11.0,141.0,568.0,5.0,36.0,7.0,14.0,0.0,4.0,65.0,306.0,3.0,10.0,11.0,20.0,8.0,19.0,6.0,31.0,9.0,54.0,10.0,76.0,4.0,16.0,21.0,60.0,17.0,13.0,85.0,54.0,23.0,14.0,14.0,58.0,25.0,124.0,8.0,8.0,7.0,16.0
2017-01-21,43.145552111111115,43.59000644444444,109.0,17.0,24.0,16.0,8.0,12.0,126.0,376.0,4.0,32.0,7.0,6.0,2.0,5.0,31.0,48.0,16.0,21.0,19.0,12.0,8.0,21.0,7.0,33.0,7.0,22.0,13.0,64.0,3.0,18.0,27.0,52.0,16.0,20.0,67.0,34.0,121.0,132.0,17.0,63.0,27.0,90.0,4.0,5.0,6.0,10.0
2017-01-22,44.19365950264551,43.888455724867725,108.0,14.0,16.0,11.0,14.0,31.0,113.0,272.0,6.0,26.0,6.0,7.0,1.0,3.0,32.0,37.0,13.0,17.0,8.0,6.0,5.0,18.0,2.0,36.0,9.0,44.0,11.0,54.0,3.0,5.0,17.0,28.0,8.0,18.0,80.0,24.0,122.0,166.0,16.0,62.0,30.0,93.0,3.0,8.0,5.0,15.0
2017-01-23,44.5704194186508,43.47833533531746,106.0,11.0,32.0,16.0,16.0,10.0,98.0,316.0,1.0,26.0,7.0,10.0,2.0,2.0,15.0,39.0,10.0,19.0,9.0,15.0,8.0,22.0,10.0,35.0,17.0,42.0,11.0,57.0,4.0,12.0,14.0,51.0,23.0,19.0,69.0,24.0,59.0,120.0,26.0,57.0,25.0,119.0,10.0,4.0,6.0,34.0
2017-01-24,45.05145353492064,43.865453125396826,133.0,11.0,45.0,22.0,8.0,14.0,95.0,329.0,8.0,18.0,7.0,19.0,4.0,7.0,16.0,44.0,27.0,24.0,8.0,13.0,21.0,40.0,9.0,42.0,18.0,49.0,17.0,67.0,4.0,14.0,21.0,41.0,12.0,18.0,81.0,31.0,50.0,66.0,16.0,42.0,30.0,124.0,10.0,10.0,10.0,34.0
2017-01-25,45.310238183862445,44.280674509259256,99.0,15.0,25.0,21.0,12.0,13.0,132.0,319.0,7.0,16.0,10.0,12.0,3.0,1.0,17.0,49.0,38.0,48.0,15.0,13.0,19.0,31.0,8.0,31.0,16.0,68.0,18.0,55.0,0.0,11.0,27.0,41.0,11.0,14.0,70.0,28.0,26.0,48.0,13.0,57.0,30.0,144.0,10.0,9.0,10.0,33.0
2017-01-26,45.382669871882094,44.65465469841269,97.0,12.0,29.0,19.0,13.0,11.0,135.0,353.0,2.0,13.0,7.0,16.0,2.0,3.0,18.0,45.0,20.0,38.0,10.0,22.0,9.0,41.0,12.0,32.0,20.0,104.0,16.0,78.0,5.0,22.0,32.0,42.0,15.0,10.0,68.0,50.0,28.0,46.0,12.0,55.0,34.0,134.0,13.0,14.0,10.0,21.0
2017-01-27,45.68940057482994,45.244934857142844,111.0,23.0,25.0,13.0,9.0,9.0,122.0,288.0,2.0,25.0,11.0,14.0,3.0,3.0,20.0,33.0,29.0,39.0,9.0,17.0,12.0,30.0,12.0,31.0,18.0,77.0,21.0,68.0,3.0,10.0,24.0,37.0,31.0,19.0,103.0,24.0,28.0,45.0,10.0,39.0,26.0,102.0,19.0,12.0,12.0,16.0
2017-01-28,45.850902610544225,45.52663,108.0,12.0,22.0,22.0,17.0,7.0,108.0,264.0,3.0,21.0,9.0,8.0,2.0,3.0,7.0,56.0,11.0,19.0,4.0,14.0,16.0,20.0,62.0,93.0,21.0,85.0,22.0,75.0,8.0,13.0,24.0,41.0,20.0,20.0,77.0,26.0,9.0,30.0,11.0,59.0,31.0,85.0,6.0,7.0,7.0,11.0
2017-01-29,45.806004651360546,45.967446122448976,88.0,42.0,19.0,14.0,9.0,8.0,152.0,378.0,5.0,34.0,5.0,19.0,1.0,6.0,7.0,47.0,11.0,24.0,5.0,7.0,18.0,31.0,82.0,187.0,46.0,128.0,17.0,83.0,1.0,13.0,35.0,62.0,12.0,29.0,67.0,31.0,13.0,23.0,14.0,60.0,33.0,125.0,3.0,5.0,5.0,15.0
2017-01-30,45.767683341836744,46.88829755102041,99.0,15.0,27.0,14.0,8.0,7.0,119.0,349.0,3.0,19.0,8.0,12.0,0.0,4.0,11.0,33.0,14.0,24.0,13.0,9.0,17.0,41.0,53.0,135.0,31.0,121.0,20.0,90.0,9.0,15.0,36.0,106.0,17.0,15.0,90.0,26.0,9.0,11.0,7.0,62.0,27.0,114.0,9.0,12.0,10.0,7.0
2017-01-31,45.56090254818595,47.310872811791384,102.0,14.0,19.0,13.0,6.0,9.0,127.0,273.0,3.0,9.0,8.0,7.0,1.0,1.0,3.0,46.0,30.0,21.0,9.0,9.0,40.0,54.0,27.0,62.0,32.0,83.0,25.0,90.0,2.0,16.0,34.0,48.0,10.0,19.0,90.0,37.0,19.0,11.0,15.0,29.0,26.0,77.0,12.0,11.0,6.0,13.0
2017-02-01,45.430958534580505,47.3858862585034,117.0,9.0,23.0,7.0,7.0,9.0,111.0,247.0,2.0,11.0,7.0,13.0,4.0,1.0,11.0,29.0,10.0,33.0,4.0,9.0,17.0,54.0,23.0,58.0,24.0,76.0,21.0,105.0,2.0,14.0,22.0,35.0,12.0,16.0,125.0,39.0,14.0,13.0,12.0,36.0,34.0,92.0,14.0,5.0,7.0,12.0
2017-02-02,45.3455308202948,47.54439418707482,118.0,12.0,34.0,15.0,10.0,5.0,105.0,285.0,2.0,21.0,8.0,8.0,3.0,1.0,10.0,30.0,12.0,27.0,10.0,12.0,21.0,37.0,23.0,47.0,18.0,63.0,20.0,100.0,4.0,20.0,34.0,42.0,12.0,24.0,127.0,39.0,9.0,18.0,11.0,45.0,28.0,96.0,7.0,9.0,10.0,21.0
2017-02-03,45.44764294274378,47.77657618707482,119.0,20.0,23.0,17.0,8.0,4.0,106.0,272.0,8.0,21.0,9.0,4.0,0.0,3.0,12.0,51.0,19.0,29.0,3.0,17.0,18.0,47.0,21.0,70.0,18.0,70.0,9.0,69.0,6.0,26.0,64.0,89.0,21.0,22.0,110.0,32.0,40.0,28.0,13.0,53.0,32.0,122.0,11.0,5.0,12.0,21.0
2017-02-04,45.57471233560092,48.0491664727891,114.0,14.0,30.0,12.0,17.0,7.0,109.0,249.0,2.0,21.0,4.0,14.0,3.0,6.0,7.0,32.0,6.0,15.0,15.0,11.0,16.0,31.0,18.0,69.0,15.0,77.0,19.0,73.0,5.0,12.0,30.0,69.0,20.0,25.0,109.0,27.0,26.0,24.0,8.0,50.0,19.0,84.0,5.0,9.0,14.0,6.0
2017-02-05,45.54939539682541,48.149889499999986,117.0,14.0,23.0,12.0,18.0,16.0,102.0,217.0,4.0,16.0,8.0,9.0,2.0,7.0,10.0,31.0,15.0,18.0,6.0,4.0,12.0,29.0,12.0,48.0,24.0,54.0,21.0,58.0,4.0,23.0,36.0,55.0,27.0,21.0,104.0,42.0,21.0,19.0,12.0,39.0,28.0,57.0,14.0,7.0,12.0,8.0
